Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.35,-.13,-.01,-.82,-.45,-.26,-.15,-.10,-.03,.05,.65
1881,-.07,-.16,.01,-.32,.10,-.06,-.92,-.41,-.17,.10,.11,-.04,-.07,.57
1882,-.10,-.20,-.01,-.28,-.05,.02,-1.41,-.24,-.11,-.05,-.05,.02,.04,.61
1883,-.16,-.26,-.06,-.31,-.16,.00,-.19,-.53,-.22,-.17,-.15,-.03,.07,.48
1884,-.27,-.41,-.14,-.58,-.15,-.13,-1.31,-.62,-.43,-.13,-.16,-.18,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.27,-1.52,-.66,-.44,-.07,-.20,-.33,-.15,.80
1886,-.31,-.42,-.20,-.55,-.20,-.21,-1.59,-.48,-.38,-.21,-.18,-.19,-.21,.57
1887,-.35,-.43,-.28,-.51,-.30,-.28,-1.77,-.48,-.27,-.29,-.30,-.27,-.26,.30
1888,-.17,-.23,-.12,-.41,.09,-.28,-1.31,-.41,-.23,.06,.12,-.30,-.22,.14
1889,-.10,-.17,-.04,-.28,.07,-.16,-.69,-.20,-.26,.01,.13,-.15,-.15,.43
1890,-.35,-.38,-.32,-.44,-.37,-.22,-1.14,-.53,-.25,-.27,-.48,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.15,-.33,-.35,.00,-.17,-.17,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.18,-.65,-.16,-.33,-.27,.03,-.21,.07
1893,-.31,-.47,-.15,-.51,-.36,-.04,-.74,-.55,-.46,-.41,-.31,.08,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.34,-.23,-1.00,-.33,-.17,-.48,-.19,-.14,-.35,-.40
1895,-.23,-.30,-.15,-.40,-.08,-.25,-.73,-.53,-.25,-.14,.00,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.09,-.14,-.94,-.36,-.21,.06,.13,-.14,-.13,.23
1897,-.11,-.16,-.05,-.35,.16,-.23,-.62,-.46,-.23,.14,.19,-.18,-.27,.38
1898,-.27,-.27,-.26,-.33,-.23,-.26,-1.16,-.19,-.21,-.18,-.28,-.27,-.21,.36
1899,-.18,-.21,-.15,-.24,-.13,-.18,-1.09,-.09,-.13,-.16,-.10,-.15,-.22,.56
1900,-.08,-.08,-.07,-.19,.16,-.29,-.57,-.12,-.14,.09,.24,-.28,-.29,.25
1901,-.15,-.12,-.18,-.15,-.04,-.30,-.42,-.09,-.13,-.06,-.02,-.27,-.33,.24
1902,-.27,-.32,-.22,-.51,-.04,-.34,-1.34,-.49,-.31,-.02,-.06,-.27,-.43,-.07
1903,-.36,-.37,-.37,-.45,-.29,-.38,-.23,-.41,-.54,-.23,-.35,-.35,-.40,-.48
1904,-.46,-.47,-.46,-.50,-.46,-.43,-.18,-.58,-.53,-.43,-.50,-.37,-.49,-1.30
1905,-.26,-.28,-.23,-.40,-.09,-.35,-.10,-.22,-.60,-.11,-.06,-.32,-.37,-.32
1906,-.22,-.23,-.21,-.25,-.20,-.23,-.31,-.05,-.37,-.21,-.18,-.20,-.22,-.69
1907,-.38,-.47,-.30,-.58,-.31,-.29,-.62,-.71,-.50,-.31,-.31,-.20,-.36,-1.18
1908,-.42,-.45,-.40,-.48,-.44,-.35,-.28,-.54,-.50,-.42,-.46,-.28,-.48,.69
1909,-.48,-.49,-.47,-.53,-.48,-.43,-.79,-.61,-.42,-.43,-.52,-.36,-.52,-.55
1910,-.43,-.44,-.42,-.41,-.49,-.37,-.60,-.23,-.48,-.49,-.49,-.32,-.45,.18
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.30,-.41,-.46,-.42,-.42,-.43,-.52,.07
1912,-.36,-.46,-.24,-.59,-.18,-.36,-.53,-.78,-.48,-.27,-.09,-.36,-.29,-1.61
1913,-.34,-.42,-.26,-.44,-.28,-.34,-.52,-.33,-.49,-.40,-.15,-.28,-.40,-1.02
1914,-.15,-.19,-.11,-.25,-.06,-.17,-.40,-.16,-.27,-.11,-.01,-.15,-.18,-.34
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.63,-.16,-.17,.00,-.02,-.15,-.23,-1.96
1916,-.35,-.41,-.30,-.36,-.45,-.22,-.48,-.54,-.23,-.49,-.40,-.22,-.17,-1.03
1917,-.46,-.57,-.36,-.49,-.64,-.18,-.85,-.49,-.42,-.69,-.58,-.22,-.09,.08
1918,-.29,-.39,-.20,-.40,-.33,-.13,-1.04,-.26,-.33,-.38,-.28,-.06,-.22,-.26
1919,-.27,-.35,-.20,-.43,-.20,-.22,-.73,-.55,-.29,-.22,-.17,-.14,-.32,.22
1920,-.27,-.30,-.24,-.25,-.26,-.32,-.03,-.20,-.34,-.37,-.13,-.19,-.48,-1.12
